essai;P6_reel;E1;V;E2;P1_reel;Lq1_reel;Lq2_reel;Lq_reel;Lq_target_x;E1.1;E1.2;E1.3;E2.1;E2.2;E2.3;E2.4;round_P6;date;condition;F1;F2;F3;F4;F5;P1_target;C;P2;Lt;Lq_target_y;P3;P4;P5;P6_target;S_moy;sigma_S
392301.0;5.12;117;0.0;735;12.3;6.1;6.1;6.1;5;122.0;114.7;114.4;;;;;5.0;2019-11-25;1b;FME;21.0;1085.0;2100.0;1.2;12.0;0.05;120.0;G;0.05;12.0;8;60;5.0;2.2325347222222223;0.6839881327543573
392301.0;5.12;111.8;0.0;665;12.3;5.4;5.5;5.4;5;110.1;113.8;111.5;;;;;5.0;2019-11-25;1b;FME;21.0;1085.0;2100.0;1.2;12.0;0.05;120.0;G;0.05;12.0;8;60;5.0;2.2325347222222223;0.6839881327543573
392301.0;5.12;112.7;0.0;686;12.3;5.0;4.9;4.9;5;115.2;110.2;112.6;;;;;5.0;2019-11-25;1b;FME;21.0;1085.0;2100.0;1.2;12.0;0.05;120.0;G;0.05;12.0;8;60;5.0;2.2325347222222223;0.6839881327543573
392301.0;5.12;111.8;0.0;731;12.3;4.9;4.6;4.8;5;108.5;112.0;114.8;;;;;5.0;2019-11-25;1b;FME;21.0;1085.0;2100.0;1.2;12.0;0.05;120.0;G;0.05;12.0;8;60;5.0;2.2325347222222223;0.6839881327543573
392301.0;5.12;116;0.0;748;12.3;6.1;6.1;6.1;5;113.9;115.5;118.6;67;52;70;62;5.0;2019-11-25;1b;FME;21.0;1085.0;2100.0;1.2;12.0;0.05;120.0;G;0.05;12.0;8;60;5.0;2.2325347222222223;0.6839881327543573
392301.0;5.12;114.7;0.0;706;12.3;5.4;5.5;5.4;5;116.4;114.0;113.6;86;86;91;86;5.0;2019-11-25;1b;FME;21.0;1085.0;2100.0;1.2;12.0;0.05;120.0;G;0.05;12.0;8;60;5.0;2.2325347222222223;0.6839881327543573
392301.0;5.12;111.3;0.0;653;12.3;5.0;4.9;4.9;5;110.4;108.3;115.1;113;114;119;123;5.0;2019-11-25;1b;FME;21.0;1085.0;2100.0;1.2;12.0;0.05;120.0;G;0.05;12.0;8;60;5.0;2.2325347222222223;0.6839881327543573
392301.0;5.12;101.7;0.0;657;12.3;4.9;4.6;4.8;5;101.3;95.5;108.3;103;122;99;143;5.0;2019-11-25;1b;FME;21.0;1085.0;2100.0;1.2;12.0;0.05;120.0;G;0.05;12.0;8;60;5.0;2.2325347222222223;0.6839881327543573
392301.0;7.04;109.7;0.0;701;12.3;6.4;5.8;6.1;5;108.6;109.7;110.8;;;;;7.0;2019-11-25;1;FME;21.0;1085.0;2100.0;595.0;12.0;1;120.0;G;0.05;12.0;8;84;7.0;2.2325347222222223;0.6839881327543573
392301.0;7.04;109.1;0.0;700;12.3;5.5;5.3;5.4;5;115.5;104.6;107.0;;;;;7.0;2019-11-25;1;FME;21.0;1085.0;2100.0;595.0;12.0;1;120.0;G;0.05;12.0;8;84;7.0;2.2325347222222223;0.6839881327543573
392301.0;7.04;105.3;0.0;702;12.3;4.8;4.7;4.8;5;105.1;103.9;106.9;;;;;7.0;2019-11-25;1;FME;21.0;1085.0;2100.0;595.0;12.0;1;120.0;G;0.05;12.0;8;84;7.0;2.2325347222222223;0.6839881327543573
392301.0;7.04;103.1;0.0;705;12.3;4.9;4.3;4.6;5;107.4;103.2;98.8;;;;;7.0;2019-11-25;1;FME;21.0;1085.0;2100.0;595.0;12.0;1;120.0;G;0.05;12.0;8;84;7.0;2.2325347222222223;0.6839881327543573
392301.0;7.04;113.4;0.0;768;12.3;6.4;5.8;6.1;5;111.6;115.5;113.0;99;69;99;83;7.0;2019-11-25;1;FME;21.0;1085.0;2100.0;595.0;12.0;1;120.0;G;0.05;12.0;8;84;7.0;2.2325347222222223;0.6839881327543573
392301.0;7.04;107.6;0.0;712;12.3;5.5;5.3;5.4;5;109.9;101.6;111.2;95;91;125;125;7.0;2019-11-25;1;FME;21.0;1085.0;2100.0;595.0;12.0;1;120.0;G;0.05;12.0;8;84;7.0;2.2325347222222223;0.6839881327543573
392301.0;7.04;108.5;0.0;745;12.3;4.8;4.7;4.8;5;113.1;104.6;107.6;221;197;184;130;7.0;2019-11-25;1;FME;21.0;1085.0;2100.0;595.0;12.0;1;120.0;G;0.05;12.0;8;84;7.0;2.2325347222222223;0.6839881327543573
392301.0;7.04;104.4;0.0;734;12.3;4.9;4.3;4.6;5;100.2;110.8;102.1;154;107;135;132;7.0;2019-11-25;1;FME;21.0;1085.0;2100.0;595.0;12.0;1;120.0;G;0.05;12.0;8;84;7.0;2.2325347222222223;0.6839881327543573
