essai;P6_reel;E1;V;E2;P1_reel;Lq1_reel;Lq2_reel;Lq_reel;Lq_target_x;E1.1;E1.2;E1.3;E2.1;E2.2;E2.3;E2.4;round_P6;date;condition;F1;F2;F3;F4;F5;P1_target;C;P2;Lt;Lq_target_y;P3;P4;P5;P6_target;S_moy;sigma_S;E2.1.3_moy;E2.2.4_moy;E2_moy
392291.0;3.2;0.5086813702487094;0.0;0.7620071684587814;0.5319926873857401;0.14043209876543206;0.08690869086908692;0.13907284768211914;0.10526315789473695;0.5034293552812072;0.5047961630695446;0.5285326086956522;;;;;0.0;2019-11-22;1b;1.0;1.0;0.0;0.0;1.0;0.5454545454545459;0.0;0.0;0.0;0.0;0.5;0.6460176991150444;0.0;0.0;0.45870197593400913;0.13785738612551213;;;
392291.0;3.2;0.48052557484748926;0.0;0.5992831541218637;0.5319926873857401;0.06327160493827155;0.05390539053905391;0.056291390728476776;0.10526315789473695;0.48559670781893005;0.4724220623501201;0.5040760869565218;;;;;0.0;2019-11-22;1b;1.0;1.0;0.0;0.0;1.0;0.5454545454545459;0.0;0.0;0.0;0.0;0.5;0.6460176991150444;0.0;0.0;0.45870197593400913;0.13785738612551213;;;
392291.0;3.2;0.5283904270295636;0.0;0.675268817204301;0.5319926873857401;0.07870370370370361;0.04290429042904287;0.07284768211920534;0.10526315789473695;0.5363511659807956;0.5155875299760193;0.5421195652173912;;;;;0.0;2019-11-22;1b;1.0;1.0;0.0;0.0;1.0;0.5454545454545459;0.0;0.0;0.0;0.0;0.5;0.6460176991150444;0.0;0.0;0.45870197593400913;0.13785738612551213;;;
392291.0;3.2;0.4819333646175503;0.0;0.6200716845878136;0.5319926873857401;0.10956790123456783;0.05390539053905391;0.08940397350993379;0.10526315789473695;0.48559670781893005;0.46642685851318966;0.5122282608695653;;;;;0.0;2019-11-22;1b;1.0;1.0;0.0;0.0;1.0;0.5454545454545459;0.0;0.0;0.0;0.0;0.5;0.6460176991150444;0.0;0.0;0.45870197593400913;0.13785738612551213;;;
392291.0;3.2;0.5354293758798685;0.0;0.7505376344086021;0.5319926873857401;0.14043209876543206;0.08690869086908692;0.13907284768211914;0.10526315789473695;0.5651577503429357;0.5083932853717028;0.5434782608695653;0.06410256410256411;0.04810126582278481;0.04190919674039581;0.055979643765903316;0.0;2019-11-22;1b;1.0;1.0;0.0;0.0;1.0;0.5454545454545459;0.0;0.0;0.0;0.0;0.5;0.6460176991150444;0.0;0.0;0.45870197593400913;0.13785738612551213;0.05300588042147996;0.05204045479434406;0.05252316760791201
392291.0;3.2;0.4861567339277335;0.0;0.5978494623655913;0.5319926873857401;0.06327160493827155;0.05390539053905391;0.056291390728476776;0.10526315789473695;0.4897119341563787;0.48321342925659483;0.5040760869565218;0.09743589743589744;0.09873417721518987;0.04307334109429569;0.08396946564885496;0.0;2019-11-22;1b;1.0;1.0;0.0;0.0;1.0;0.5454545454545459;0.0;0.0;0.0;0.0;0.5;0.6460176991150444;0.0;0.0;0.45870197593400913;0.13785738612551213;0.07025461926509656;0.09135182143202242;0.0808032203485595
392291.0;3.2;0.49460347254809944;0.0;0.6043010752688172;0.5319926873857401;0.07870370370370361;0.04290429042904287;0.07284768211920534;0.10526315789473695;0.5116598079561043;0.4724220623501201;0.5190217391304349;0.0923076923076923;0.0911392405063291;0.04540162980209546;0.08142493638676845;0.0;2019-11-22;1b;1.0;1.0;0.0;0.0;1.0;0.5454545454545459;0.0;0.0;0.0;0.0;0.5;0.6460176991150444;0.0;0.0;0.45870197593400913;0.13785738612551213;0.06885466105489388;0.08628208844654878;0.07756837475072133
392291.0;3.2;0.4819333646175503;0.0;0.6164874551971326;0.5319926873857401;0.10956790123456783;0.05390539053905391;0.08940397350993379;0.10526315789473695;0.4718792866941015;0.47482014388489224;0.5176630434782609;0.07435897435897436;0.08101265822784809;0.034924330616996506;0.05343511450381679;0.0;2019-11-22;1b;1.0;1.0;0.0;0.0;1.0;0.5454545454545459;0.0;0.0;0.0;0.0;0.5;0.6460176991150444;0.0;0.0;0.45870197593400913;0.13785738612551213;0.05464165248798543;0.06722388636583244;0.06093276942690894
392291.0;4.92;0.5058657907085873;0.0;0.7448028673835125;0.5319926873857401;0.17129629629629628;0.07590759075907588;0.13907284768211914;0.10526315789473695;0.49382716049382736;0.5000000000000002;0.5380434782608695;;;;;0.28571428571428564;2019-11-22;1;;1.0;0.0;0.0;1.0;0.5454545454545459;0.6610169491525424;0.0;0.0;0.0;0.5;0.6460176991150444;0.5;0.33333333333333326;0.45870197593400913;0.13785738612551213;;;
392291.0;4.92;0.4748944157672452;0.0;0.5978494623655913;0.5319926873857401;0.10956790123456783;0.03190319031903194;0.07284768211920534;0.10526315789473695;0.47599451303155016;0.4640287769784175;0.5081521739130433;;;;;0.28571428571428564;2019-11-22;1;;1.0;0.0;0.0;1.0;0.5454545454545459;0.6610169491525424;0.0;0.0;0.0;0.5;0.6460176991150444;0.5;0.33333333333333326;0.45870197593400913;0.13785738612551213;;;
392291.0;4.92;0.5016424213984043;0.0;0.6301075268817203;0.5319926873857401;0.06327160493827155;0.07590759075907588;0.07284768211920534;0.10526315789473695;0.5006858710562416;0.5023980815347724;0.516304347826087;;;;;0.28571428571428564;2019-11-22;1;;1.0;0.0;0.0;1.0;0.5454545454545459;0.6610169491525424;0.0;0.0;0.0;0.5;0.6460176991150444;0.5;0.33333333333333326;0.45870197593400913;0.13785738612551213;;;
392291.0;4.92;0.45800093852651336;0.0;0.5777777777777777;0.5319926873857401;0.10956790123456783;0.09790979097909785;0.1225165562913908;0.10526315789473695;0.4691358024691359;0.46043165467625924;0.4687500000000001;;;;;0.28571428571428564;2019-11-22;1;;1.0;0.0;0.0;1.0;0.5454545454545459;0.6610169491525424;0.0;0.0;0.0;0.5;0.6460176991150444;0.5;0.33333333333333326;0.45870197593400913;0.13785738612551213;;;
392291.0;4.92;0.5129047395588924;0.0;0.7648745519713261;0.5319926873857401;0.17129629629629628;0.07590759075907588;0.13907284768211914;0.10526315789473695;0.5075445816186559;0.49880095923261414;0.5434782608695653;0.06666666666666667;0.10126582278481011;0.05355064027939465;0.08142493638676845;0.28571428571428564;2019-11-22;1;;1.0;0.0;0.0;1.0;0.5454545454545459;0.6610169491525424;0.0;0.0;0.0;0.5;0.6460176991150444;0.5;0.33333333333333326;0.45870197593400913;0.13785738612551213;0.060108653473030654;0.09134537958578928;0.07572701652940997
392291.0;4.92;0.4720788362271233;0.0;0.5949820788530465;0.5319926873857401;0.10956790123456783;0.03190319031903194;0.07284768211920534;0.10526315789473695;0.4609053497942388;0.471223021582734;0.502717391304348;0.1512820512820513;0.1468354430379747;0.047729918509895226;0.1068702290076336;0.28571428571428564;2019-11-22;1;;1.0;0.0;0.0;1.0;0.5454545454545459;0.6610169491525424;0.0;0.0;0.0;0.5;0.6460176991150444;0.5;0.33333333333333326;0.45870197593400913;0.13785738612551213;0.09950598489597326;0.12685283602280414;0.1131794104593887
392291.0;4.92;0.4917878930079773;0.0;0.6258064516129032;0.5319926873857401;0.06327160493827155;0.07590759075907588;0.07284768211920534;0.10526315789473695;0.4910836762688615;0.4724220623501201;0.5285326086956522;0.11794871794871796;0.08860759493670886;0.05587892898719441;0.08905852417302801;0.28571428571428564;2019-11-22;1;;1.0;0.0;0.0;1.0;0.5454545454545459;0.6610169491525424;0.0;0.0;0.0;0.5;0.6460176991150444;0.5;0.33333333333333326;0.45870197593400913;0.13785738612551213;0.08691382346795619;0.08883305955486843;0.08787344151141231
392291.0;4.92;0.4622243078366963;0.0;0.5835125448028673;0.5319926873857401;0.10956790123456783;0.09790979097909785;0.1225165562913908;0.10526315789473695;0.45679012345679015;0.4544364508393287;0.5000000000000001;0.06666666666666667;0.08607594936708862;0.05937136204889406;0.09669211195928754;0.28571428571428564;2019-11-22;1;;1.0;0.0;0.0;1.0;0.5454545454545459;0.6610169491525424;0.0;0.0;0.0;0.5;0.6460176991150444;0.5;0.33333333333333326;0.45870197593400913;0.13785738612551213;0.06301901435778036;0.09138403066318808;0.07720152251048422
392291.0;7.04;0.48756452369779435;0.0;0.7505376344086021;0.5319926873857401;0.15586419753086422;0.0649064906490649;0.1225165562913908;0.10526315789473695;0.5020576131687242;0.46642685851318966;0.5135869565217391;;;;;0.5714285714285714;2019-11-22;1c;1.0;1.0;0.0;0.0;1.0;0.5454545454545459;0.0;0.0;0.0;0.0;0.5;0.6460176991150444;1.0;0.6666666666666665;0.45870197593400913;0.13785738612551213;;;
392291.0;7.04;0.4523697794462693;0.0;0.6;0.5319926873857401;0.125;0.04290429042904287;0.08940397350993379;0.10526315789473695;0.4513031550068587;0.44364508393285385;0.48913043478260876;;;;;0.5714285714285714;2019-11-22;1c;1.0;1.0;0.0;0.0;1.0;0.5454545454545459;0.0;0.0;0.0;0.0;0.5;0.6460176991150444;1.0;0.6666666666666665;0.45870197593400913;0.13785738612551213;;;
392291.0;7.04;0.4664476771468793;0.0;0.6114695340501791;0.5319926873857401;0.07870370370370361;0.05390539053905391;0.07284768211920534;0.10526315789473695;0.45816186556927296;0.4472422062350121;0.5176630434782609;;;;;0.5714285714285714;2019-11-22;1c;1.0;1.0;0.0;0.0;1.0;0.5454545454545459;0.0;0.0;0.0;0.0;0.5;0.6460176991150444;1.0;0.6666666666666665;0.45870197593400913;0.13785738612551213;;;
392291.0;7.04;0.4565931487564523;0.0;0.5820788530465949;0.5319926873857401;0.14043209876543206;0.09790979097909785;0.13907284768211914;0.10526315789473695;0.4814814814814814;0.44484412470024004;0.46739130434782605;;;;;0.5714285714285714;2019-11-22;1c;1.0;1.0;0.0;0.0;1.0;0.5454545454545459;0.0;0.0;0.0;0.0;0.5;0.6460176991150444;1.0;0.6666666666666665;0.45870197593400913;0.13785738612551213;;;
392291.0;7.04;0.4861567339277335;0.0;0.7483870967741935;0.5319926873857401;0.15586419753086422;0.0649064906490649;0.1225165562913908;0.10526315789473695;0.4801097393689988;0.4760191846522783;0.5203804347826088;0.13846153846153847;0.1341772151898734;0.05587892898719441;0.09160305343511452;0.5714285714285714;2019-11-22;1c;1.0;1.0;0.0;0.0;1.0;0.5454545454545459;0.0;0.0;0.0;0.0;0.5;0.6460176991150444;1.0;0.6666666666666665;0.45870197593400913;0.13785738612551213;0.09717023372436644;0.11289013431249396;0.1050301840184302
392291.0;7.04;0.47067104645706226;0.0;0.6086021505376343;0.5319926873857401;0.125;0.04290429042904287;0.08940397350993379;0.10526315789473695;0.4499314128943759;0.4700239808153479;0.514945652173913;0.20512820512820512;0.20506329113924052;0.08731082654249127;0.178117048346056;0.5714285714285714;2019-11-22;1c;1.0;1.0;0.0;0.0;1.0;0.5454545454545459;0.0;0.0;0.0;0.0;0.5;0.6460176991150444;1.0;0.6666666666666665;0.45870197593400913;0.13785738612551213;0.1462195158353482;0.19159016974264825;0.16890484278899823
392291.0;7.04;0.4791177850774284;0.0;0.6121863799283154;0.5319926873857401;0.07870370370370361;0.05390539053905391;0.07284768211920534;0.10526315789473695;0.4801097393689988;0.46522781774580335;0.5122282608695653;0.17948717948717952;0.23037974683544302;0.07334109429569266;0.1603053435114504;0.5714285714285714;2019-11-22;1c;1.0;1.0;0.0;0.0;1.0;0.5454545454545459;0.0;0.0;0.0;0.0;0.5;0.6460176991150444;1.0;0.6666666666666665;0.45870197593400913;0.13785738612551213;0.1264141368914361;0.1953425451734467;0.16087834103244142
