essai;P6_reel;E1;V;E2;P1_reel;Lq1_reel;Lq2_reel;Lq_reel;Lq_target_x;E1.1;E1.2;E1.3;E2.1;E2.2;E2.3;E2.4;round_P6;date;condition;F1;F2;F3;F4;F5;P1_target;C;P2;Lt;Lq_target_y;P3;P4;P5;P6_target;S_moy;sigma_S;E2.1.3_moy;E2.2.4_moy;E2_moy
392291.0;3.2;-0.29734191395831044;-1.2841133630184138;1.4688602479964805;-1.47633695706862;-0.7343918104422369;-0.7289109386966828;-0.7147752947701368;-0.763649924919299;-0.29132977111119995;-0.26321687000446237;-0.33919802866307086;;;;;-1.2850792082313727;2019-11-22;1b;0.0;0.0;0.0;0.0;0.0;0.0;-0.7488745740123998;-0.8819171036881969;0;-0.8819171036881953;0.2581988897471611;0.8490227329966055;-1.2738605198709205;-1.2850792082313727;-0.49876145059092164;-0.211270547789797;;;
392291.0;3.2;-0.44316011255987653;-1.2841133630184138;-0.6147037168920646;-1.47633695706862;-1.0702807352437598;-0.9256790282537369;-1.0574236250891038;-0.763649924919299;-0.38401168280779524;-0.45952189864827486;-0.47108770177752746;;;;;-1.2850792082313727;2019-11-22;1b;0.0;0.0;0.0;0.0;0.0;0.0;-0.7488745740123998;-0.8819171036881969;0;-0.8819171036881953;0.2581988897471611;0.8490227329966055;-1.2738605198709205;-1.2850792082313727;-0.49876145059092164;-0.211270547789797;;;
392291.0;3.2;-0.1952691749372138;-1.2841133630184138;0.3582380464479608;-1.47633695706862;-1.003102950283455;-0.9912683914394217;-0.9888939590253104;-0.763649924919299;-0.12022470336364152;-0.19778186045652554;-0.2659259880439282;;;;;-1.2850792082313727;2019-11-22;1b;0.0;0.0;0.0;0.0;0.0;0.0;-0.7488745740123998;-0.8819171036881969;0;-0.8819171036881953;0.2581988897471611;0.8490227329966055;-1.2738605198709205;-1.2850792082313727;-0.49876145059092164;-0.211270547789797;;;
392291.0;3.2;-0.4358692026297986;-1.2841133630184138;-0.3485215363556426;-1.47633695706862;-0.8687473803628462;-0.9256790282537369;-0.9203642929615169;-0.763649924919299;-0.38401168280779524;-0.49587468173046234;-0.4271244774060412;;;;;-1.2850792082313727;2019-11-22;1b;0.0;0.0;0.0;0.0;0.0;0.0;-0.7488745740123998;-0.8819171036881969;0;-0.8819171036881953;0.2581988897471611;0.8490227329966055;-1.2738605198709205;-1.2850792082313727;-0.49876145059092164;-0.211270547789797;;;
392291.0;3.2;-0.15881462528682228;-1.2841133630184138;1.32200111390742;-1.47633695706862;-0.7343918104422369;-0.7289109386966828;-0.7147752947701368;-0.763649924919299;0.029492230915473226;-0.24140520015515007;-0.2585987839820133;-0.7319351217240635;-0.9642894728599176;-0.6565388583561664;-0.8837815957195811;-1.2850792082313727;2019-11-22;1b;0.0;0.0;0.0;0.0;0.0;0.0;-0.7488745740123998;-0.8819171036881969;0;-0.8819171036881953;0.2581988897471611;0.8490227329966055;-1.2738605198709205;-1.2850792082313727;-0.49876145059092164;-0.211270547789797;-0.694236990040115;-0.9240355342897494;-0.8091362621649322
392291.0;3.2;-0.41399647283956287;-1.2841133630184138;-0.6330611086531972;-1.47633695706862;-1.0702807352437598;-0.9256790282537369;-1.0574236250891038;-0.763649924919299;-0.36262354933934954;-0.39408688910033807;-0.47108770177752746;-0.4572016820976017;-0.6119010902999805;-0.6361670241173101;-0.6766602243962951;-1.2850792082313727;2019-11-22;1b;0.0;0.0;0.0;0.0;0.0;0.0;-0.7488745740123998;-0.8819171036881969;0;-0.8819171036881953;0.2581988897471611;0.8490227329966055;-1.2738605198709205;-1.2850792082313727;-0.49876145059092164;-0.211270547789797;-0.5466843531074559;-0.6442806573481379;-0.5954825052277969
392291.0;3.2;-0.3702510132590935;-1.2841133630184138;-0.5504528457281007;-1.47633695706862;-1.003102950283455;-0.9912683914394217;-0.9888939590253104;-0.763649924919299;-0.24855350417431057;-0.45952189864827486;-0.3904884570964699;-0.4994683651170574;-0.664759347683971;-0.5954233556395975;-0.6954894399711393;-1.2850792082313727;2019-11-22;1b;0.0;0.0;0.0;0.0;0.0;0.0;-0.7488745740123998;-0.8819171036881969;0;-0.8819171036881953;0.2581988897471611;0.8490227329966055;-1.2738605198709205;-1.2850792082313727;-0.49876145059092164;-0.211270547789797;-0.5474458603783274;-0.6801243938275552;-0.6137851271029413
392291.0;3.2;-0.4358692026297986;-1.2841133630184138;-0.394415015758474;-1.47633695706862;-0.8687473803628462;-0.9256790282537369;-0.9203642929615169;-0.763649924919299;-0.4553054610359448;-0.44498078541539965;-0.3978156611583848;-0.6474017556851522;-0.7352370241959585;-0.7787698637893042;-0.9026108112944253;-1.2850792082313727;2019-11-22;1b;0.0;0.0;0.0;0.0;0.0;0.0;-0.7488745740123998;-0.8819171036881969;0;-0.8819171036881953;0.2581988897471611;0.8490227329966055;-1.2738605198709205;-1.2850792082313727;-0.49876145059092164;-0.211270547789797;-0.7130858097372282;-0.8189239177451919;-0.76600486374121
392291.0;4.92;-0.3119237338184673;-1.2841133630184138;1.2485715468628897;-1.47633695706862;-0.6000362405216277;-0.7945003018823679;-0.7147752947701368;-0.763649924919299;-0.34123541587090483;-0.29229909647021274;-0.28790760022967077;;;;;-0.07559289460184544;2019-11-22;1;;0.0;0.0;0.0;0.0;0.0;1.434759697874224;-0.8819171036881969;0;-0.8819171036881953;0.2581988897471611;0.8490227329966055;-0.009874887750937368;-0.07559289460184544;-0.49876145059092164;-0.211270547789797;;;
392291.0;4.92;-0.47232375228019013;-1.2841133630184138;-0.6330611086531972;-1.47633695706862;-0.8687473803628462;-1.0568577546251061;-0.9888939590253104;-0.763649924919299;-0.4339173275674991;-0.5104157949633376;-0.44910608959178483;;;;;-0.07559289460184544;2019-11-22;1;;0.0;0.0;0.0;0.0;0.0;1.434759697874224;-0.8819171036881969;0;-0.8819171036881953;0.2581988897471611;0.8490227329966055;-0.009874887750937368;-0.07559289460184544;-0.49876145059092164;-0.211270547789797;;;
