iter	RMSE
0	1.008996376
1	0.9893268122
2	0.970732412
3	0.9530115063
4	0.9366096742
5	0.9217811659
6	0.9051067593
7	0.8892833291
8	0.8764240046
9	0.8611103538
10	0.8476736687
11	0.8341905011
12	0.8208475502
13	0.8081085971
14	0.7961569932
15	0.7842377553
16	0.7725882083
17	0.7612738346
18	0.7499243696
19	0.7386940333
20	0.7295091649
21	0.7202142636
22	0.7115680612
23	0.7014296744
24	0.6928323154
25	0.6847087582
26	0.6764425213
27	0.6674069758
28	0.6605853141
29	0.6543883974
30	0.6453753445
31	0.6372415131
32	0.6307765463
33	0.6238391441
34	0.6175124585
35	0.6114835941
36	0.6035702421
37	0.5955086607
38	0.5884403054
39	0.5828144666
40	0.5769935083
41	0.5715736099
42	0.5659870059
43	0.5604759966
44	0.5560035787
45	0.5500803385
46	0.5450600653
47	0.5409187868
48	0.5364071503
49	0.5322619712
50	0.5281113703
51	0.5231501295
52	0.5179827303
53	0.5138723076
54	0.510688132
55	0.5070995481
56	0.5024374725
57	0.498816202
58	0.4960725578
59	0.4924845612
60	0.4881913901
61	0.484519901
62	0.4814114928
63	0.4774794568
64	0.4737177388
65	0.4703236712
66	0.4662102343
67	0.4627020428
68	0.4575741252
69	0.4551880474
70	0.4524457401
71	0.4491944257
72	0.4459583629
73	0.4438899875
74	0.4402741824
75	0.4375384205
76	0.434998811
77	0.4329134978
78	0.429767823
79	0.4277929377
80	0.423937319
81	0.4202197236
82	0.4166063424
83	0.4145498245
84	0.4121316573
85	0.4100758574
86	0.4080998315
87	0.4064050401
88	0.404223746
89	0.4024074395
90	0.4002621035
91	0.3970396516
92	0.3957247188
93	0.3938147313
94	0.3906202381
95	0.3880671588
96	0.3856387453
97	0.3829804405
98	0.3815243191
99	0.3785403537
100	0.3771901708
101	0.3753233216
102	0.3725155227
103	0.3711704124
104	0.3695547146
105	0.3682535301
106	0.366872389
107	0.3652623101
108	0.3637255128
109	0.362441562
110	0.3608154242
111	0.359652132
112	0.3568251681
113	0.355141934
114	0.353788261
115	0.3528981701
116	0.3511916848
117	0.3505523183
118	0.3491455357
119	0.3480434952
120	0.3469231017
121	0.3457663005
122	0.3449738355
123	0.3421312414
124	0.3399044917
125	0.3386688451
126	0.3377029088
127	0.3358572719
128	0.3338940999
129	0.3330147823
130	0.3322420471
131	0.3314960199
132	0.3306291748
133	0.3297287834
134	0.3286017642
135	0.3267182343
136	0.3250797469
137	0.3242955273
138	0.3234060861
139	0.3215542956
140	0.3205232008
141	0.3188298541
142	0.318030528
143	0.3171927977
144	0.3156576472
145	0.3144567011
146	0.3137496854
147	0.3132367168
148	0.3122397433
149	0.3114424529
150	0.3101976409
151	0.3095698962
152	0.3078992246
153	0.3065728665
154	0.3059750971
155	0.3044457284
156	0.3036680526
157	0.3027620355
158	0.3016903439
159	0.3008355017
160	0.2999950384
161	0.2992910159
162	0.2985209369
163	0.2978574795
164	0.2973656349
165	0.2966401982
166	0.295893698
167	0.2952536947
168	0.2946092911
169	0.2932993551
170	0.2923067493
171	0.2912817552
172	0.2903693509
173	0.2894218319
174	0.2884693073
175	0.2877542807
176	0.2873054075
177	0.2866846519
178	0.286066266
179	0.2854036319
180	0.2850115078
181	0.2842404423
182	0.2834620786
183	0.2830700578
184	0.2824836517
185	0.2818493871
186	0.2813739426
187	0.2806572873
188	0.2801352849
189	0.2795116398
190	0.2791354393
191	0.2785414067
192	0.2780892821
193	0.2776095633
194	0.2767263124
195	0.2757572848
196	0.2751594146
197	0.2743398127
198	0.2737900358
199	0.2734739864
200	0.2730364408
201	0.2725343475
202	0.2719466945
203	0.271085908
204	0.2701793994
205	0.2693611741
206	0.2688608378
207	0.268479465
208	0.2681001927
209	0.2675562571
210	0.2671423166
211	0.2666298243
212	0.2659969516
213	0.2655679752
214	0.2650332586
215	0.2642440295
216	0.2638747779
217	0.2635186739
218	0.2631207246
219	0.2624721051
220	0.2620676514
221	0.2613648429
222	0.2606752988
223	0.2601884228
224	0.259907526
225	0.2595187203
226	0.2590134233
227	0.2584655366
228	0.2581631253
229	0.2575023315
230	0.2571232895
231	0.2568439485
232	0.2565213034
233	0.2563160434
234	0.2561007857
235	0.2554373939
236	0.2548528276
237	0.2544446152
238	0.2542352923
239	0.2535481325
240	0.2527305973
241	0.2523291699
242	0.2517830507
243	0.2511256409
244	0.2508253563
245	0.250277823
246	0.2500488876
247	0.2496819017
248	0.2493366356
249	0.2486189632
250	0.2481426119
251	0.2478232192
252	0.2474725638
253	0.2469567879
254	0.2466783409
255	0.2461709662
256	0.2457951314
257	0.2454892983
258	0.2449841838
259	0.2447205309
260	0.2443763872
261	0.244025156
262	0.2435274974
263	0.2433037835
264	0.2429206202
265	0.2423765879
266	0.2419769608
267	0.2417176283
268	0.241257315
269	0.2410234895
270	0.2405325008
271	0.240207991
272	0.2398069083
273	0.2395656485
274	0.2393342765
275	0.2391436406
276	0.2387698831
277	0.2383902791
278	0.2381889031
279	0.2379631024
280	0.2376775973
281	0.2373882383
282	0.2369386197
283	0.2366901701
284	0.2362888699
285	0.2360378284
286	0.2356183916
287	0.2354487692
288	0.2351968766
289	0.2349495759
290	0.2345969407
291	0.2343405713
292	0.2341701674
293	0.2340905929
294	0.2337593068
295	0.2335369435
296	0.2333369348
297	0.232983736
298	0.2327738248
299	0.2323833474
300	0.2321529685
301	0.2319978464
302	0.2314718957
303	0.2311817272
304	0.2309551124
305	0.2306875403
306	0.2304878043
307	0.2301935878
308	0.2299358703
309	0.2294605655
310	0.2292243419
311	0.2291086477
312	0.2288597527
313	0.2286942049
314	0.2284416857
315	0.2280850868
316	0.2278799044
317	0.2276129245
318	0.2273428209
319	0.227273907
320	0.227045468
321	0.2267744881
322	0.2265490925
323	0.2262013856
324	0.2259923243
325	0.225661147
326	0.2253047546
327	0.2250525975
328	0.224838982
329	0.2245198489
330	0.2242461544
331	0.2241262974
332	0.2239908859
333	0.2239215156
334	0.2236640231
335	0.2235962685
336	0.2233505342
337	0.2230471292
338	0.2228379913
339	0.2227715782
340	0.2225337849
341	0.2222181807
342	0.2220916188
343	0.2219438903
344	0.2218242303
345	0.2216900309
346	0.221504362
347	0.2213178828
348	0.2211475222
349	0.2210286201
350	0.2209013195
351	0.2205988936
352	0.2204662816
353	0.2202343151
354	0.2200502932
355	0.219843379
356	0.2196031375
357	0.2193715464
358	0.2191898911
359	0.2188927267
360	0.2187826079
361	0.2187192018
362	0.2184264643
363	0.2181409571
364	0.2180254734
365	0.2179057339
366	0.2176233645
367	0.2174613506
368	0.2173632425
369	0.2173014481
370	0.2171932784
371	0.2170344583
372	0.2169299995
373	0.2166909986
374	0.2165929485
375	0.2163245354
376	0.2161335839
377	0.2159356138
378	0.2157747492
379	0.2155081958
380	0.2153537548
381	0.215235642
382	0.215124148
383	0.2149990804
384	0.2149143807
385	0.2147930964
386	0.2146455921
387	0.2145860374
388	0.214438709
389	0.2141715222
390	0.2139160147
391	0.2136716736
392	0.213456522
393	0.2133572929
394	0.213172976
395	0.2129299599
396	0.2127014509
397	0.2125038304
398	0.2122366024
399	0.2121610468
